2024-09-30T10:02:05.043+10:00 192.168.1.3 password failed for user ; USER=ubuntu1
2024-09-30T09:43:45.043+10:00 192.168.1.3 session closed for user root ; USER=ubuntu1
2024-09-30T09:56:22.043+10:00 192.168.1.2 session opened for user ; USER=admin
2024-09-30T09:35:26.043+10:00 10.0.0.1 attempt to execute root command ; USER=unauthorized_user
2024-09-30T09:58:40.043+10:00 10.0.0.1 session opened for user ; USER=ubuntu2
2024-09-30T09:49:49.043+10:00 192.168.1.2 session opened for user root ; USER=root
2024-09-30T10:02:44.043+10:00 172.16.0.5 password failed for user ; USER=guest
2024-09-30T10:25:53.043+10:00 172.16.0.5 session closed for user ; USER=ubuntu1
2024-09-30T10:01:30.043+10:00 192.168.100.20 privilege escalation detected ; USER=unauthorized_user
2024-09-30T09:41:33.043+10:00 172.16.0.5 session opened for user ; USER=guest
2024-09-30T09:51:34.043+10:00 172.16.0.5 session opened for user root ; USER=guest
2024-09-30T09:44:00.043+10:00 192.168.1.3 password failed for user ; USER=root
2024-09-30T10:05:48.043+10:00 192.168.100.20 session closed for user ; USER=root
2024-09-30T09:59:17.043+10:00 192.168.1.2 password failed for user ; USER=ubuntu1
2024-09-30T10:27:47.043+10:00 172.16.0.5 session closed for user ; USER=root
2024-09-30T09:46:43.043+10:00 192.168.100.20 session closed for user root ; USER=guest
2024-09-30T09:47:45.043+10:00 192.168.1.2 session opened for user ; USER=ubuntu2
2024-09-30T10:26:12.043+10:00 192.168.100.20 sudo command executed ; USER=guest
2024-09-30T10:04:57.043+10:00 192.168.1.2 session opened for user ; USER=ubuntu1
2024-09-30T10:17:49.043+10:00 192.168.100.20 password failed for user ; USER=ubuntu1
2024-09-30T09:49:34.043+10:00 172.16.0.5 session opened for user ; USER=root
2024-09-30T09:43:41.043+10:00 192.168.100.20 session closed for user root ; USER=admin
2024-09-30T09:33:05.043+10:00 192.168.100.20 session opened for user ; USER=admin
2024-09-30T09:55:48.043+10:00 172.16.0.5 sudo command executed ; USER=unauthorized_user
2024-09-30T09:49:32.043+10:00 10.0.0.1 password failed for user ; USER=ubuntu2
2024-09-30T10:11:15.043+10:00 192.168.100.20 password accepted for user ; USER=admin
2024-09-30T10:14:57.043+10:00 192.168.100.20 session closed for user root ; USER=ubuntu2
2024-09-30T09:53:32.043+10:00 192.168.100.20 session closed for user root ; USER=ubuntu2
2024-09-30T10:15:53.043+10:00 10.0.0.1 session closed for user root ; USER=guest
2024-09-30T10:03:40.043+10:00 192.168.1.2 password failed for user ; USER=root
2024-09-30T10:18:47.043+10:00 192.168.100.20 session opened for user root ; USER=ubuntu2
2024-09-30T09:31:38.043+10:00 192.168.1.3 session closed for user ; USER=root
2024-09-30T10:27:43.043+10:00 192.168.1.3 password accepted for user ; USER=guest
2024-09-30T10:17:36.043+10:00 192.168.100.20 session opened for user ; USER=root
2024-09-30T09:49:52.043+10:00 10.0.0.1 password failed for user ; USER=admin
2024-09-30T09:34:56.043+10:00 10.0.0.1 password failed for user ; USER=root
2024-09-30T09:38:17.043+10:00 172.16.0.5 session closed for user root ; USER=root
2024-09-30T09:31:20.043+10:00 172.16.0.5 session closed for user ; USER=root
